title,abstract,doi,year,author,journal,source,normalized_title
"Food Globalization in the Early Modern Period: Isotopic Evidence of Maize Introduction and Dietary Diversification on Gran Canaria, Canary Islands, Spain (16th-18th CE)","ObjectivesThe European expansion of the Early Modern period led to unparalleled intercontinental plant and animal translocations. This study explores the dietary changes resulting from the movement of plants and animals, such as maize, into local diets beyond the Americas. The analysis focuses on the Canary Islands (Spain), which play a key role in the transatlantic trade network linking Europe, Africa, and America.Materials and MethodsIn this study, stable isotope dietary (delta 13Ccollagen, delta 15Ncollagen, and delta 13Cenamel) analyses of 66 human and 42 terrestrial animal samples from several sites in Gran Canaria, dated between the 16th and 18th centuries, were used to trace the introduction of nonnative C4 plants into the diet. Additionally, Bayesian modeling through FRUITS is applied to deepen our understanding of this dietary transition. This approach provides an evolutionary perspective on changes in dietary practices over time.ResultsThe isotopic data indicate a gradual increase in C4 plant consumption and evidence of manuring in cultivated fields from the 16th to the 18th centuries. This dietary shift, characterized by the introduction of new foodstuffs, is reflected in less negative carbon and elevated nitrogen isotope values in both human (delta 13Ccollagen, delta 15Ncollagen, and delta 13Cenamel) and animal samples (delta 13Ccollagen and delta 15Ncollagen).DiscussionThe findings suggest the slow yet progressive incorporation of C4 plants, most likely maize, into the local food system, which coincides with the introduction of other new crops, livestock, and innovative agricultural techniques such as manuring. This study thus offers a singular lens through which to view these early dietary shifts and the extensive effects of the global spread of crops and animals beyond their native territories.",10.1002/ajpa.70027,2025,J Santana and E S Cañadillas and J Morales and A M Izquier and A B Mayor and E Iriarte and R G González and J J Mederos and M D C {de Mercadal} and M Moreno-García and A R Rodríguez,AMERICAN JOURNAL OF BIOLOGICAL ANTHROPOLOGY,WoS_2025,16th18th and canaria canary ce dietary diversification early evidence food globalization gran in introduction islands isotopic maize modern of on period spain the
"Diet and herding strategies in a changing environment: Stable isotope analysis of Bronze Age and Late Antique skeletal remains from Ya'amun, Jordan","Carbon and nitrogen stable isotope ratios of 45 human and 23 faunal bone collagen samples were measured to study human diet and the management of domestic herbivores in past Jordan, contrasting skeletal remains from the Middle and Late Bronze Age and the Late Roman and Byzantine periods from the site of Ya'amun near Irbid. The isotope data demonstrate that the management of the sheep and goats changed over time, with the earlier animals consuming more plants from semi-arid habitats, possibly because of transhumant herding strategies. The isotope data for fish presented here are the first from archaeological contexts from the Southern Levant. Although fish of diverse provenance was available at the site, human diet was predominately based on terrestrial resources and there was little dietary variability within each time-period. Isotopic variation between humans from different time-periods can mostly be explained by 'baseline shifts' in the available food sources; however, it is suggested that legumes may have played a more significant role in Middle and Late Bronze Age diet than later on. (C) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.jas.2015.07.009,2015,M Sandias and G Müldner,JOURNAL OF ARCHAEOLOGICAL SCIENCE,WoS_2025,a age analysis and and antique bronze changing diet environment from herding in isotope jordan late of remains skeletal stable strategies yaamun
How will climate change affect the feeding biology of Collembola?,"Collembolans are one of the most diverse and abundant group of soil invertebrates. Recent studies have shown anthropogenic climate warming to alter Collembola diversity and density in warm-dry (more detrimental effects) and warm-wet (lesser detrimental effects) conditions. Besides the direct influence of abiotic stressors, shifts in food availability could help understand variable collembolan responses to climate warming. Collembolan diet is generally formed by two main groups of soil fungi: saprotrophic and mycorrhizal fungi, which occupy different spatial niches in the soil, and are simultaneously affected by climate warming and drought. These fungal responses to climate change alter food availability for Collembola, inducing shifts in their dietary composition. Collembolans preferentially consume saprotrophic fungi, regardless of their spatial niche. However, those inhabiting deeper soil layers occasionally feed on mycorrhizal fungi and rely more frequently on such diets when other food sources become scarce. We suggest that climate change-driven scarcity of saprotrophic fungal diets in soils would make collembolans depend more on mycorrhizal fungal diets. We then discuss how such dietary shifts are driven by distinct mechanisms in warm-dry and warm-wet soil conditions. We finally call for the use of emerging techniques (e.g., stable isotope analysis, molecular gut content) to quantify the diets of Collembola more accurately under different climate change scenarios, which will help us shed more insights on how warming and precipitation variability are going to alter Collembola-fungal trophic interactions in a changing world.",10.1016/j.soilbio.2023.109244,2024,S K D Sanders and G Martinez-De León and L Formenti and M P Thakur,SOIL BIOLOGY & BIOCHEMISTRY,WoS_2025,affect biology change climate collembola feeding how of the will
Cross-ecosystem analyses of pelagic food web structure and processes in the Baltic Sea,"This study compares Ecopath models of mass flow of carbon through pelagic food webs in the three major basins of the Baltic Sea: Bothnian Bay (BB), Bothnian Sea (BS) and the Baltic proper (BP) including the Gulfs of Finland and Riga. The carbon flows in the models were estimated indirectly based on monitoring data of bacterial and primary productivity as well as on literature data on predator's diets and size-fractionated primary production.
   Analysis of the carbon flows suggested that in order to present a good balance between inputs and losses of carbon to each system, the most sensitive factor in the models, e.g. averaged monitoring data on bacterial productivity had to be lowered for the BB and BS, whereas it was raised for the BP basin. The final model configuration resulted in fairly realistic productivity estimates and carbon demands for individual compartments in each area.
   The supply of carbon via autochthonous primary production was highest in the Baltic proper (192 g Cm-2 year(-1)), whereas it was estimated 3 and 11 times lower in the BS and the BB, respectively. The input of allochthonous sources, via terrigenous dissolved organic carbon as well as advection between basins was relatively higher towards the north, being 7.4, 11.6, and 22 g C m(-2) year(-1) in the BP, BS, and BB, respectively Along with the higher allochthonous supply there was a gradual increase in bacterial production relative to particulate primary production since that ratio was 20%, 60% and 160% in the BP, BS and BB, respectively
   The relatively higher bacterial production as compared to primary production towards the north of the Baltic Sea resulted in systematic differences in carbon flow between basins. The flow from particulate primary production to the classic food chain (zooplankton and Mysids) and the microbial food web was fairly similar between areas. However, the demand for particulate primary production by the microbial food web was 79%, 54% and 29% in the BP, BS and BB, respectively. The present study thus give further indirect support to the view that the carbon flow through the microbial food web is enhanced in less productive aquatic systems with relatively high input of allochthonous carbon such as the Bothnian Sea and the Bothnian Bay. (c) 2006 Elsevier B.V. All rights reserved.",10.1016/j.ecolmodel.2006.09.023,2007,J Sandberg,ECOLOGICAL MODELLING,WoS_2025,analyses and baltic crossecosystem food in of pelagic processes sea structure the web
Metabolic Responses of Mytilus galloprovincialis to Fullerenes in Mesocosm Exposure Experiments,"In this study, Mediterranean mussels (Mytilus gallopro-vincialis) were exposed through the diet to fullerene soot at three concentrations in parallel to a control group. Their metabolomics response was assessed by high-performance liquid chromatography coupled to high resolution mass spectrometry (HPLC-HRMS). The experiments were conducted in marine mesocosms, during 35 days (7 days of acclimatization, 21 days of exposure, and 7 days of depuration). Real conditions were emulated in terms of physicochemical conditions of the habitat. Results confirmed the bioaccumulation of fullerenes, and the metabolome of the exposed organisms revealed significant differences in the concentrations of seven free amino acids in comparison to the control group :An increase in small nonpolar amino acids (e.g., alanine) and branched chain amino acids (leucine and isoleucine) were observed. Also, glutamine concentrations decreased significantly, suggesting the activation of facultative anaerobic energy metabolism. Branched chain amino acids, such as leucine and isoleucine, followed the opposite trend after the highest level of exposure, which can imply hormesis effects. Other significant differences were observed on lipids content, such as the general increase of free fatty acids, i.e., long-chain fatty acids (lauric, myristic, and palmitic acids) when the concentration of exposure was increased. These results were consistent with hypoxia and oxidative stress.",10.1021/acs.est.7b04089,2018,J Sanchís and M Llorca and M Olmos and G F Schirinzi and C Bosch-Orea and E Abad and D Barceló and M Farré,ENVIRONMENTAL SCIENCE & TECHNOLOGY,WoS_2025,experiments exposure fullerenes galloprovincialis in mesocosm metabolic mytilus of responses to
"Invasive Lionfish (Pterois volitans/miles) feeding ecology in Biscayne National Park, Florida, USA","Indo-Pacific Lionfish (Pterois volitans and P. miles) are venomous marine fishes in the family Scorpaenidae that invaded the Caribbean Sea, Gulf of Mexico, and western North Atlantic Ocean beginning in the mid-1980s. Lionfish are generalist, opportunistic predators that consume a variety of invertebrates and small reef fishes, such that the presence of Lionfish can significantly reduce reef fish abundance, diversity, and recruitment on invaded reefs. This study focused on the feeding ecology of Lionfish in Biscayne National Park (BNP), located in southeast Florida, USA. BNP consists of multiple marine habitats, including mangroves, seagrass beds, coral reefs, and limestone keys that support a diverse array of species resulting in multi-million dollar fishing and tourism industries. These habitats within BNP are at risk from the predatory impacts of invasive Lionfish. Through morphological prey identification of stomach contents, supplemented with DNA barcoding for identification of highly-digested prey items, Lionfish diet was analyzed and compared among fish sizes (immature, transitional and mature), BNP region (bay, shelf, and edge), and seasons (wet and dry). A total of 513 stomachs, containing more than 2600 prey items, were examined. We report that Lionfish in BNP fed predominantly on small reef fishes and small crustaceans, with a dietary shift from crustaceans to fishes occurring with increasing Lionfish size. Diets differed among BNP regions for medium-sized (100-179 mm) transitional Lionfish but not for large-sized (ae<yen> 180 mm) mature individuals. Furthermore, dietary differences between seasons were observed in mature Lionfish, but no seasonal differences were detected for smaller Lionfish (i.e., immature and transitional Lionfish). Based on the diet habits observed, Lionfish in BNP could have significant ecological and economic consequences for BNP and south Florida coastal habitats.",10.1007/s10530-018-1705-4,2018,G Sancho and P R Kingsley-Smith and J A Morris and C A Toline and V McDonough and S M Doty,BIOLOGICAL INVASIONS,WoS_2025,biscayne ecology feeding florida in invasive lionfish national park pterois usa volitansmiles
"Centennial to millennial-scale changes in oxygenation and productivity in the Eastern Tropical South Pacific during the last 25,000 years","Oxygen minimum zones (OMZ) have expanded in all tropical oceans during the last 50 years resulting in habitat contraction and considerable changes in marine biogeochemistry. However, for a better understanding of the OMZ dynamics under the current climate change, two questions are relevant: 1) how do the magnitude and temporal changes in oceanic dissolved oxygen of the last few decades compare to the natural variability on longer timescales, and 2) what were the local and remote factors driving OMZ changes in the past. In the present study we use a stacked record covering the last 25 kyr from the Eastern Tropical South Pacific (ETSP) OMZ to reconstruct changes in oxygenation and productivity. We use a suite of proxies including the presence of laminations, redox sensitive metals (U, Mo, Re, Ni and Cu), total organic carbon and delta N-15 measurements. Water column denitrification and sediment redox conditions show pronounced centennial to millennial-scale variability during the last 25 kyr, with oxygenation levels as low as at present Global cold periods at different timescales such as the Last Glacial Maximum (23-19 kyr BP) and the Little Ice Age (1500-1850 AD) were associated with a weak OMZ and low export production, while warm intervals such as the deglaciation, part of the Medieval Climate Anomaly and the last 100 years are associated with a stronger OMZ and high export production. Water column denitrification and sediment redox conditions were strongly coupled during the last 25 kyr BP apart from one remarkable exception: during the Antarctic Cold Reversal, sediments were less reducing but the water column denitrification was high resulting in a strong but shallow OMZ. This may have been produced by an enhanced Antarctic Intermediate Water flow. Contrary to our expectations and modeling predictions for the next few decades, we observe a weak ETSP-OMZ during the warm mid-Holocene, which may have been the result of a stronger Walker Circulation that brought oxygen-rich waters to intermediate depths off Peru via Equatorial undercurrents. In combination with other paleoceanographic reconstructions, our results show that oxygenation variability in the ETSP-OMZ was influenced by ocean circulation changes in the Tropical Pacific, high latitude oceanographic and climatic changes, and local productivity. (C) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.quascirev.2015.10.044,2016,R Salvatteci and D Gutierrez and A Sifeddine and L Ortlieb and E Druffel and M Boussafir and R Schneider,QUATERNARY SCIENCE REVIEWS,WoS_2025,25000 and centennial changes during eastern in in last millennialscale oxygenation pacific productivity south the the to tropical years
"Population structure, life cycle, and trophic niche of the glacial relict amphipod, Gammaracanthus lacustris, in a large boreal lake","Ecology of the glacial relict macrocrustacean Gammaracanthus lacustris, a rare inhabitant of deep Fennoscandian lakes, is poorly understood. We studied the life cycle and trophic position of this cold-stenothermic amphipod in Lake Paasivesi, eastern Finland. The study is based on intensive sampling and analyses of fatty acid composition as well as stable carbon (delta C-13) and nitrogen (delta N-15) isotope ratios. Both day and night, the G. lacustris population occurred at depths below 25 m at temperatures <8 degrees C, and the density increased towards the bottom of the lake, where it was 0.4-0.6 individuals/m(3). Gammaracanthus lacustris was observed to reach a length of >40 mm and live up to 4 years. The oldest and the largest individuals and females seemed to favour the deepest zones. In October, almost 100% of females with length at least 25 mm (i.e. females presumably at least 1-year-old) had an embryo sack with 20-200 eggs or embryos-the larger the female, the more young it had. The developing eggs of G. lacustris had a very high fatty acid content, indicating that the females invest heavily on provisioning their young. Furthermore, the fatty acid composition differed among life stages, and in particular the eggs had a higher proportion of eicosapentaenoic acid than juveniles or adults. The stable delta C-13 and delta N-15 isotope ratios and fatty acid biomarkers of the food web, together with visual observations, indicate that G. lacustris is a carnivore that feeds mainly on zooplankton and other relict macrocrustaceans. Due to its high content of essential polyunsaturated fatty acids, G. lacustris is a valuable prey for fish and other predators in the food web. However, as a glacial relict with strict habitat requirements the species is vulnerable to global warming and local environmental changes. These facts should be considered in the management of lakes and their catchments.",10.1111/fwb.13404,2019,J K Salonen and M Hiltunen and K Figueiredo and P Paavilainen and T Sinisalo and U Strandberg and P Kankaala and J Taskinen,FRESHWATER BIOLOGY,WoS_2025,a amphipod and boreal cycle gammaracanthus glacial in lacustris lake large life niche of population relict structure the trophic
A Puma concolor (Carnivora: Felidae) in the Middle-Late Holocene landscapes of the Brazilian Northeast (Bahia): submerged cave deposits and stable isotopes,"Puma concolor is currently widespread in South America, but its fossil record is still poorly known in the Continent, particularly in Brazil. Here we report the find of a nearly complete skeleton of P. concolor recovered from underwater Quaternary deposits at the Impossivel-loin Cave System, Chapada Diamantina (Bahia, Brazil). The P. concolor remains were found disarticulated but piled together; they are in general quite well preserved. Radiocarbon dating from a tooth sample (upper carnassial) indicates a Middle-Late Holocene age of ca. 4 ka BP. A series of comparative morphometric analyses suggest that the specimen is a male and shares similar size proportions to extant specimens in the region. Isotopic analyses made with a tooth sample indicate a diet largely based on C3 feeding herbivores, potentially associated to landscapes predominantly covered by Seasonally Dry Tropical Forest, similar to the Present-day Caatinga vegetation. The delta O-18 outcome value of -3.4 parts per thousand and the modeled puma's negative trend in adaptability towards the present (after 6 ka) seem to be consistent with the hypothesized Middle-Holocene (similar to 4 ka) shift in climatic tendencies in the Brazilian Northeast from a more relatively humid environment to a drier climate with longer drought periods, presenting severe semiarid conditions somewhat similar to the precolonial conditions. Cave surroundings fit well with the description of the present progressive trend of changes in physiognomy related to land-use and associated with processes of fragmentation and desertification in the Caatinga. (C) 2020 Elsevier Masson SAS. All rights reserved.",10.1016/j.geobios.2020.06.007,2020,L D Salles and F A Perini and C R D Neto and F L Sicuro and J Arroyo-Cabrales and P G Guedes and F V Laureano and E M Calvo and L F B {de Oliveira} and J L P Cordeiro and V A Pérez-Crespo and P Morales-Puente and L J S {dos Anjos} and F B Pontual and K R {da Costa} and CMSDF {dos Santos} and R T Lopes and L H S Almeida and L S Lobo and P M Toledo,GEOBIOS,WoS_2025,a and bahia brazilian carnivora cave concolor deposits felidae holocene in isotopes landscapes middlelate northeast of puma stable submerged the the
Estimating the Impact of Biodiversity Loss in a Marine Antarctic Food Web,"The consequences of climate change and anthropogenic stressors, such as habitat loss and overexploitation, are threatening the subsistence of species and communities across the planet. Therefore, it is crucial that we analyze the impact of environmental perturbations on the diversity, structure and function of ecosystems. In this study, in silico simulations of biodiversity loss were carried out on the marine food web of Caleta Potter (25 de Mayo/King George Island, Antarctica), where global warming has caused critical changes in the abundance and distribution of benthic and pelagic communities over the last 30 years. We performed species removal, considering their degree and trophic level, and including four different thresholds on the occurrence of secondary extinctions. We examined the impact of extinctions on connectance, modularity and stability of the food web. We found different responses for these properties depending on the extinction criteria used, e.g., large increase in modularity and rapid decrease in stability when the most connected and relatively high-trophic-level species were removed. Additionally, we studied the complexity-stability relationship of the food web, and found two regimes: (1) high sensitivity to small perturbations, suggesting that Potter Cove would be locally unstable, and (2) high persistence to long-range perturbations, suggesting global stability of this ecosystem.",10.3390/d16010063,2024,V Salinas and G Cordone and T I Marina and F R Momo,DIVERSITY-BASEL,WoS_2025,a antarctic biodiversity estimating food impact in loss marine of the web
"Quantification of the Synergistic Effects of Eutrophication, Apex Predator Pressure, and Internal Processes on the Black Sea Ecosystem","In the present study, a model of the lower-trophic pelagic food web of the Black Sea is considered in order to provide a quantitative understanding of the marked changes in the food web structure in response to changing top-down and bottom-up control mechanisms due to eutrophication, overfishing, and climatic changes. The simulations consider three particular parameters controlling the changes in the ecosystem structure due to these stressors; (i) the magnitude of the nitrate flux into the euphotic layer from the chemocline layer (enrichment due to eutrophication), (ii) the magnitude of predation control introduced by the planktivorous fish on mesozooplankton (fishery), (iii) the magnitude of the Q(10) parameter controlling temperature dependence of the Mnemiopsis growth (changing climatic conditions). A simulation assessing the level of enrichment on the ecosystem indicates a shift of the major trophic energy flow towards Noctiluca and Aurelia and thus showing how the ecosystem would degrade when a critical level of enrichment is passed. Increasing predation pressure of the planktivorous fish during the enrichment phase is shown to reduce the mesozooplankton biomass that in turn declines its predation pressure on Noctiluca population and thus allows Noctiluca biomass to increase, considering that mesozooplanton is assumed to feed on Noctiluca (at a level of 15% food preference) in the current model.. Noctiluca then acts as a major consumer and a critical element of the degraded food web structure. The overfishing of planktivorous fish stocks allows Mnemiopsis biomass to increase considerably under changing (warmer) climatic conditions at the end of 1980s, following a decade-long intense cooling phase. Thus, our results suggest that overfishing would not alone be able to promote a Mnemiopsis population outburst in the absence of warming.",10.4194/1303-2712-v13_4_03,2013,B Salihoglu and N Sevinc,TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES,WoS_2025,and apex black ecosystem effects eutrophication internal of of on predator pressure processes quantification sea synergistic the the
"To 'seafood' or not to 'seafood'?"" An isotopic perspective on dietary preferences at the Mesolithic-Neolithic transition in the Western Mediterranean","Stable isotope investigations of the Prehistory of the Western Mediterranean have increased exponentially during the last decade. This region has a high number of Mesolithic and Neolithic carbon and nitrogen isotope ratio data available compared with other world areas, resulting from the interest in the ""transition"" between hunter-gathering and farming. This type of analysis is important as one of the few tools that give direct information on the poorly understood dietary transition from hunter-gatherer to agro-pastoralist subsistence in the Mediterranean Basin. Carbon and nitrogen stable isotope analysis on bulk collagen are especially useful for exploring marine vs. terrestrial protein input and therefore assess marine resource exploitation by these two different lifestyles. Gathering together all isotopic data for these chronologies we show that the Western Mediterranean underwent a unique/distinct Neolithisation process. These data show a gradual dietary shift in aquatic resource consumption during the transition to farming that contrasts to elsewhere in Europe. (C) 2018 Elsevier Ltd and INQUA. All rights reserved.",10.1016/j.quaint.2017.12.039,2018,D C Salazar-García and M Fontanals-Coll and G Goude and M E Subirà,QUATERNARY INTERNATIONAL,WoS_2025,an at dietary in isotopic mediterranean mesolithicneolithic not on or perspective preferences seafood seafood the the to to transition western
"The interplay of trophic interactions and game dynamics gives rise to life-history trade-offs, consistent personalities, and predator-prey and aggression power laws","Ecological processes and evolutionary change are increasingly recognized as intimately linked. Here, we introduce an eco-evolutionary model of trophic interactions between predators and prey and show that the flow of resources in the ecosystem results in the scale-invariant spatial and temporal structure of ecosystems. In contrast to conventional approaches that rely on fitness-based selection, evolution in our eco-evolutionary framework is a direct consequence of ecological interactions. To illustrate this, we combine trophic interactions with evolutionary games by allowing individuals to play a game within the population where they can adopt aggressive or non-aggressive strategies. We show that individuals develop consistent personalities and their life-history trade-offs become intertwined with the scale-invariant ecological dynamics. Aggressive individuals tend to live faster, more reproduction-focused lives, whereas nonaggressive individuals favor slower, longer-lived strategies. These patterns emerge naturally, rather than being imposed as model assumptions. Furthermore, we demonstrate that the nonequilibrium dynamics of resource flow play a decisive role in driving the evolution of consistent personalities within and across populations. We identify a new class of aggression scaling laws arising from the interplay of ecological and evolutionary processes. The model relates predator-prey scaling laws with food web control and shows that small offspring size, high relative prey mobility, low predator conversion efficiency, predator competition, and prey competition all favor prey control over the food web. Our findings illuminate how large-scale ecological patterns-including power laws in predator-prey biomass and avalanche-like resource pulses-can relate to evolutionary outcomes such as consistent personalities, life-history trade-offs, and density-dependent growth. This perspective strengthens the emerging view that ecology and evolution are two faces of the same coin, each shaping the other in a self-organized, energy-driven system.",10.1088/1367-2630/adaedd,2025,M Salahshour,NEW JOURNAL OF PHYSICS,WoS_2025,aggression and and and consistent dynamics game gives interactions interplay laws lifehistory of personalities power predatorprey rise the to tradeoffs trophic
"Carbon budget of the planktonic food web in an atoll lagoon (Takapoto, French Polynesia)","The structure and functioning of the planktonic food web were characterized in the lagoon of Takapoto Atoll (French Polynesia). Several variables were estimated over several weeks April 1996 and 1997: carbon stocks of different planktonic compartments, phytoplankton particulate net production (PPNP), release of dissolved organic carbon (DOC) from phytoplankton, bacterial production and metabolic activity, and sinking of particles. The carbon stocks and flows were used to build up a quantitative description of the planktonic food web. The heterotrophic bacterial community was characterized by high biomass, low production and a small proportion of actively respiring cells. This was consistent with the observed low consumption of bacteria by protozoa. The relatively high PPNP was mostly due to cyanobacteria <1 mu m in size. DOC release from phytoplankton represented, on average, 48% of the total photoassimilated carbon. The planktonic food web was characterized by a high biomass of small protozoa (82% were <= 14 mu m). The contribution of metazoa to the carbon stock of zooplankton was smaller than that of prtozoa, but their rates of production and ingestion were high. Detritus had a high sinking rate and were largely consumed by metazoan plankton. The carbon budget of the planktonic system shows that 70% of phytoplankton total net production (PTNP: particulate and dissolved) is lost through heterotrophic respiration. This moderate value for oligotrophic warm waters, is due to the, low activity of bacteria. The remaining 30% of the PTNP is exported from the planktonic system through food-web transfers and sinking of detritus (20 and 10% of PTNP, respectively). It follows that the lagoonal planktonic food web, despite the small size of primary producers, is quite efficient at exporting biogenic carbon. Protozoan grazers play a key role in carbon export, as they exert a strong grazing pressure on phytoplankton, and are themselves largely consumed by metazoan zooplankton.",10.1093/plankt/24.4.301,2002,A Sakka and L Legendre and M Gosselin and N Niquil and B Delesalle,JOURNAL OF PLANKTON RESEARCH,WoS_2025,an atoll budget carbon food french in lagoon of planktonic polynesia takapoto the web
Ontogenetic and Temporal Diet Shifts of the Invasive Asian Swamp Eel in South Florida,"The Asian Swamp Eel Monopterus albus is an introduced species in South Florida waters and is considered to be a potential threat to the native biota and ecosystems in the region. As a protogynous hermaphrodite that, under the right climatic conditions, can travel short distances over land and tolerate abrupt shifts in salinity, this species has strong invasive potential. In this study, our main goal was to evaluate the potential effects of the Asian Swamp Eel as a predator on native fishes and other biota. Our specific objectives were to (1) analyze the stomach contents of introduced Asian Swamp Eels from canals located near Everglades National Park and (2) assess the ontogenetic and temporal shifts in their consumption of prey. We dissected 752 Asian Swamp Eels (107-833 mm TL), and 46.4% (N = 349) of the samples had stomach contents for the analyses. The analyses indicated that amphipods, fishes, dragonfly nymphs, Hemiptera insects, and grass shrimp Palaemonetes were the most important prey items for Swamp Eels. Swamp Darters Etheostoma fusiforme, juvenile Asian Swamp Eels, and centrarchids were the most common fishes eaten by Swamp Eels. Ontogenetic shifts in diet were apparent, with amphipods and dipteran larvae most often observed in the stomachs of small- to medium-sized Swamp Eels and fish, dragonfly nymphs, and Hemiptera insects more commonly identified in the stomachs of larger eels. The Swamp Eels also became increasingly piscivorous with size. Dragonfly nymphs and grass shrimp occurred more frequently in the Swamp Eel diets in May 2010, while the consumption of fish and amphipods increased in October 2010. Fish were the most important prey item that was consumed during the November-December 2009 period, although other prey items were relatively important during that collection period. As an opportunistic predator that consumes a wide range of prey, the Asian Swamp Eel likely has its greatest effects on native biota and ecosystems as a predator and competitor with native fishes for resources.",10.1002/nafm.10362,2019,P C Sakaris and J Galvez and T P Callier and A Brown,NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,WoS_2025,and asian diet eel florida in invasive of ontogenetic shifts south swamp temporal the
Watershed Effects on Chemical Properties of Sediment and Primary Consumption in Estuarine Tidal Flats: Importance of Watershed Size and Food Selectivity by Macrobenthos,"Particulate organic matter transported from rivers to estuaries (POMR) varies quantitatively and qualitatively across estuaries; however, a lack of comparative studies poses a challenge in general understanding of responses of estuarine food webs to POMR input. We studied 20 estuarine tidal flats of the Pacific Northwest coast of North America, with watershed areas ranging from 7 to 8000 km(2). We used carbon-stable isotope (delta C-13) to test the hypothesis that the nutritional contribution of POMR to macrobenthos is proportional to relative abundances of POMR in tidal flat sediments. The predominant origin of total POM (TPOM) in tidal flat sediments generally shifted from marine-origin POM (POMM) to POMR as watershed area increased; however, terrestrial-origin POMR with high C/N predominated sediment TPOM even in estuaries with small watershed areas. Some macrobenthos species assimilated POM sources in proportion to sediment TPOM composition, and incorporated POMR in POMR-predominant sediments. These species were considered to have low food selectivity; however, the relative nutritional contribution of POMR to these macrobenthos was still lower than the fraction of POMR in sediment TPOM. Other species disproportionately utilized POMM and/or benthic microalgae regardless of the relative abundance of POMR, indicating their high food selectivity. The species-specific, low- or high-food selectivity was likely linked with deposit-feeding and filter-feeding, respectively. Hence, our hypothesis was supported conditionally. Our findings indicate that watershed area, relative abundance of POMR in an estuary, and food selectivity of estuarine species are key factors controlling the tightness of linkage between watersheds and estuarine food webs.",10.1007/s10021-010-9321-x,2010,T Sakamaki and J Y T Shum and J S Richardson,ECOSYSTEMS,WoS_2025,and and by chemical consumption effects estuarine flats food importance in macrobenthos of of on primary properties sediment selectivity size tidal watershed watershed
Effects of watershed land use on coastal marine environments: A multiscale exploratory analysis with multiple biogeochemical indicators in fringing coral reefs of Okinawa Island,"The analytical spatial scale and selection of biogeochemical indicators affect interpretations of land-use impacts on coastal marine environments. In this study, nine biogeochemical indicators were sampled from 36 locations of coral reefs fringing a subtropical island, and their relationships with watershed land use were assessed by spatial autoregressive models with spatial weight matrixes based on distance thresholds of a few to 30 km. POM-relevant indicators were associated with agricultural and urban lands of watersheds within relatively small ranges (6-14 km), while the concentrations of inorganic nutrients were associated with watersheds within 20 km or more. The macroalgal delta N-15 showed a strong relationship with agricultural lands of watersheds within 7 km and urban/ forest lands of watersheds within 24 km. These results demonstrate significant effects of land use on the coral reef ecosystems of the island, and the importance of appropriate combinations of analytical scales and biogeo-chemical indicators.",10.1016/j.marpolbul.2022.114054,2022,T Sakamaki and A Morita and S Touyama and Y Watanabe and S Suzuki and T Kawai,MARINE POLLUTION BULLETIN,WoS_2025,a analysis biogeochemical coastal coral effects environments exploratory fringing in indicators island land marine multiple multiscale of of okinawa on reefs use watershed with
"Quantifying foodweb interactions with simultaneous linear equations: stable isotope models of the Truckee River, USA","Aquatic foodweb models for 2 seasons (relatively high- [March] and low-flow [August] conditions) were constructed for 4 reaches on the Truckee River using delta C-13 and delta N-15 data from periphyton, macroinvertebrate, and fish samples collected in 2003 and 2004. The models were constructed with isotope values that included measured periphyton signatures and calculated mean isotope values for detritus and seston as basal food sources of each food web. The pseudo-optimization function in Excel's Solver module was used to minimize the sum of squared error between predicted and observed stable-isotope values while simultaneously solving for diet proportions for all foodweb consumers and estimating delta C-13 and delta N-15 trophic enrichment factors. This approach used an underdetermined set of simultaneous linear equations and was tested by running the pseudo-optimization procedure for 500 randomly selected sets of initial conditions. Estimated diet proportions had average standard deviations (SDs) of 0.03 to 0.04 parts per thousand, and SDs of trophic enrichment factors ranged from <0.005 to 0.05 parts per thousand based on the results of the 500 runs, indicating that the modeling approach was very robust. However, sensitivity analysis of calculated detritus and seston delta C-13 and delta N-15 values indicated that the robustness of the approach is dependent on having accurate measures of all observed foodweb-component delta C-13 and delta N-15 values. Model results from the 500 runs using the mean isotope values for detritus and seston indicated that upstream food webs were the simplest, with fewer feeding groups and trophic interactions (e.g., 21 interactions for 10 feeding groups), whereas food webs for the reach downstream of the Reno-Sparks metropolitan area were the most complex (e.g., 58 interactions for 16 feeding groups). Nonnative crayfish were important omnivores in each reach and drew energy from multiple sources, but appeared to be energetic dead ends because they generally were not consumed. Predatory macroinvertebrate diets varied along the river and affected estimated trophic positions of fish that consumed them. Differences in complexity and composition of the food webs appeared to be related to season, but could also have been caused by interactions with nonnative species, especially invasive crayfish.",10.1899/06-115.1,2007,L Saito and C Redd and S Chandra and L Atwell and C H Fritsen and M R Rosen,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,WoS_2025,equations foodweb interactions isotope linear models of quantifying river simultaneous stable the truckee usa with
